Time,station 1 O3,station 1 NO2
2020-02-09T23:00:00Z,31,4
2020-02-10T00:00:00Z,30,4
2020-02-10T01:00:00Z,28,6
2020-02-10T02:00:00Z,27,8
2020-02-10T03:00:00Z,,
2020-02-10T04:00:00Z,20,15
2020-02-10T05:00:00Z,18,17
2020-02-10T06:00:00Z,5,32
2020-02-10T07:00:00Z,2,36
2020-02-10T08:00:00Z,3,31
2020-02-10T09:00:00Z,8,25
2020-02-10T10:00:00Z,16,17
2020-02-10T11:00:00Z,23,9
2020-02-10T12:00:00Z,24,9
2020-02-10T13:00:00Z,26,8
2020-02-10T14:00:00Z,28,9
2020-02-10T15:00:00Z,28,9
2020-02-10T16:00:00Z,27,9
2020-02-10T17:00:00Z,25,13
2020-02-10T18:00:00Z,26,12
2020-02-10T19:00:00Z,25,13
2020-02-10T20:00:00Z,28,9
2020-02-10T21:00:00Z,26,10
2020-02-10T22:00:00Z,24,13
2020-02-10T23:00:00Z,16,22
2020-02-11T00:00:00Z,25,12
2020-02-11T01:00:00Z,28,8
2020-02-11T02:00:00Z,26,9
2020-02-11T03:00:00Z,23,11
2020-02-11T04:00:00Z,12,24
2020-02-11T05:00:00Z,12,24
2020-02-11T06:00:00Z,3,34
2020-02-11T07:00:00Z,4,34
2020-02-11T08:00:00Z,21,19
2020-02-11T09:00:00Z,26,13
2020-02-11T10:00:00Z,27,11
2020-02-11T11:00:00Z,28,11
2020-02-11T12:00:00Z,29,9
2020-02-11T13:00:00Z,31,9
2020-02-11T14:00:00Z,31,11
2020-02-11T15:00:00Z,32,10
2020-02-11T16:00:00Z,35,9
2020-02-11T17:00:00Z,34,9
2020-02-11T18:00:00Z,33,8
2020-02-11T19:00:00Z,33,7
2020-02-11T20:00:00Z,34,7
2020-02-11T21:00:00Z,33,7
2020-02-11T22:00:00Z,35,5
2020-02-11T23:00:00Z,36,4
2020-02-12T00:00:00Z,34,6
2020-02-12T01:00:00Z,30,9
2020-02-12T02:00:00Z,30,9
2020-02-12T03:00:00Z,33,6
2020-02-12T04:00:00Z,32,7
2020-02-12T05:00:00Z,34,5
2020-02-12T06:00:00Z,31,9
2020-02-12T07:00:00Z,28,12
2020-02-12T08:00:00Z,25,14
2020-02-12T09:00:00Z,26,13
2020-02-12T10:00:00Z,27,11
2020-02-12T11:00:00Z,28,10
2020-02-12T12:00:00Z,30,9
2020-02-12T13:00:00Z,30,10
2020-02-12T14:00:00Z,31,9
2020-02-12T15:00:00Z,35,7
2020-02-12T16:00:00Z,34,7
2020-02-12T17:00:00Z,32,9
2020-02-12T18:00:00Z,29,10
2020-02-12T19:00:00Z,27,12
2020-02-12T20:00:00Z,23,16
2020-02-12T21:00:00Z,22,16
2020-02-12T22:00:00Z,20,16
2020-02-12T23:00:00Z,18,17
2020-02-13T00:00:00Z,19,15
2020-02-13T01:00:00Z,25,9
2020-02-13T02:00:00Z,26,10
2020-02-13T03:00:00Z,22,13
2020-02-13T04:00:00Z,23,12
2020-02-13T05:00:00Z,19,17
2020-02-13T06:00:00Z,11,25
2020-02-13T07:00:00Z,6,30
2020-02-13T08:00:00Z,11,24
2020-02-13T09:00:00Z,14,22
2020-02-13T10:00:00Z,19,16
2020-02-13T11:00:00Z,22,13
2020-02-13T12:00:00Z,24,11
2020-02-13T13:00:00Z,26,9
2020-02-13T14:00:00Z,26,8
2020-02-13T15:00:00Z,25,8
2020-02-13T16:00:00Z,26,7
2020-02-13T17:00:00Z,27,6
2020-02-13T18:00:00Z,26,6
2020-02-13T19:00:00Z,26,5
2020-02-13T20:00:00Z,26,6
2020-02-13T21:00:00Z,27,4
2020-02-13T22:00:00Z,26,4
2020-02-13T23:00:00Z,27,3
2020-02-14T00:00:00Z,27,3
2020-02-14T01:00:00Z,25,5
2020-02-14T02:00:00Z,26,4
2020-02-14T03:00:00Z,25,5
2020-02-14T04:00:00Z,24,6
2020-02-14T05:00:00Z,21,11
2020-02-14T06:00:00Z,18,14
2020-02-14T07:00:00Z,13,20
2020-02-14T08:00:00Z,13,21
2020-02-14T09:00:00Z,18,16
2020-02-14T10:00:00Z,23,9
2020-02-14T11:00:00Z,24,8
2020-02-14T12:00:00Z,24,8
2020-02-14T13:00:00Z,24,10
2020-02-14T14:00:00Z,21,14
2020-02-14T15:00:00Z,19,18
2020-02-14T16:00:00Z,17,19
2020-02-14T17:00:00Z,19,18
2020-02-14T18:00:00Z,18,18
2020-02-14T19:00:00Z,14,23
2020-02-14T20:00:00Z,23,15
2020-02-14T21:00:00Z,17,20
2020-02-14T22:00:00Z,19,18
2020-02-14T23:00:00Z,24,13
2020-02-15T00:00:00Z,29,8
2020-02-15T01:00:00Z,27,11
2020-02-15T02:00:00Z,26,12
2020-02-15T03:00:00Z,26,11
2020-02-15T04:00:00Z,25,13
2020-02-15T05:00:00Z,27,10
2020-02-15T06:00:00Z,26,11
2020-02-15T07:00:00Z,28,9
2020-02-15T08:00:00Z,26,10
2020-02-15T09:00:00Z,29,7
2020-02-15T10:00:00Z,31,4
2020-02-15T11:00:00Z,32,4
2020-02-15T12:00:00Z,33,3
2020-02-15T13:00:00Z,33,3
2020-02-15T14:00:00Z,34,3
2020-02-15T15:00:00Z,32,5
2020-02-15T16:00:00Z,31,6
2020-02-15T17:00:00Z,30,8
2020-02-15T18:00:00Z,30,7
2020-02-15T19:00:00Z,30,7
2020-02-15T20:00:00Z,30,7
2020-02-15T21:00:00Z,32,6
2020-02-15T22:00:00Z,31,6
2020-02-15T23:00:00Z,30,6
2020-02-16T00:00:00Z,30,6
2020-02-16T01:00:00Z,29,6
2020-02-16T02:00:00Z,28,6
2020-02-16T03:00:00Z,30,5
2020-02-16T04:00:00Z,29,5
2020-02-16T05:00:00Z,28,7
2020-02-16T06:00:00Z,27,7
2020-02-16T07:00:00Z,26,8
2020-02-16T08:00:00Z,26,9
2020-02-16T09:00:00Z,28,8
2020-02-16T10:00:00Z,29,5
2020-02-16T11:00:00Z,31,4
2020-02-16T12:00:00Z,33,3
2020-02-16T13:00:00Z,34,4
2020-02-16T14:00:00Z,36,4
2020-02-16T15:00:00Z,37,4
2020-02-16T16:00:00Z,37,5
2020-02-16T17:00:00Z,37,5
2020-02-16T18:00:00Z,33,10
2020-02-16T19:00:00Z,32,11
2020-02-16T20:00:00Z,33,11
2020-02-16T21:00:00Z,26,18
2020-02-16T22:00:00Z,18,21
2020-02-16T23:00:00Z,25,13
2020-02-17T00:00:00Z,28,10
2020-02-17T01:00:00Z,30,7
2020-02-17T02:00:00Z,31,6
2020-02-17T03:00:00Z,,
2020-02-17T04:00:00Z,21,17
2020-02-17T05:00:00Z,16,22
2020-02-17T06:00:00Z,6,33
2020-02-17T07:00:00Z,2,38
2020-02-17T08:00:00Z,22,17
2020-02-17T09:00:00Z,33,4
2020-02-17T10:00:00Z,34,2
2020-02-17T11:00:00Z,34,2
2020-02-17T12:00:00Z,34,3
2020-02-17T13:00:00Z,35,2
2020-02-17T14:00:00Z,36,2
2020-02-17T15:00:00Z,37,1
2020-02-17T16:00:00Z,37,1
2020-02-17T17:00:00Z,38,2
2020-02-17T18:00:00Z,38,1
2020-02-17T19:00:00Z,37,1
2020-02-17T20:00:00Z,37,1
2020-02-17T21:00:00Z,37,1
2020-02-17T22:00:00Z,37,1
2020-02-17T23:00:00Z,38,1
2020-02-18T00:00:00Z,38,1
2020-02-18T01:00:00Z,39,0
2020-02-18T02:00:00Z,38,0
2020-02-18T03:00:00Z,38,1
2020-02-18T04:00:00Z,36,1
2020-02-18T05:00:00Z,34,2
2020-02-18T06:00:00Z,33,3
2020-02-18T07:00:00Z,32,4
2020-02-18T08:00:00Z,30,5
2020-02-18T09:00:00Z,28,7
2020-02-18T10:00:00Z,26,9
2020-02-18T11:00:00Z,23,10
2020-02-18T12:00:00Z,22,9
2020-02-18T13:00:00Z,23,9
2020-02-18T14:00:00Z,23,10
2020-02-18T15:00:00Z,25,9
2020-02-18T16:00:00Z,27,10
2020-02-18T17:00:00Z,30,9
2020-02-18T18:00:00Z,33,7
2020-02-18T19:00:00Z,33,6
2020-02-18T20:00:00Z,34,5
2020-02-18T21:00:00Z,34,5
2020-02-18T22:00:00Z,33,6
2020-02-18T23:00:00Z,35,3
2020-02-19T00:00:00Z,35,3
2020-02-19T01:00:00Z,36,2
2020-02-19T02:00:00Z,36,2
2020-02-19T03:00:00Z,37,2
2020-02-19T04:00:00Z,36,3
2020-02-19T05:00:00Z,34,6
2020-02-19T06:00:00Z,34,6
2020-02-19T07:00:00Z,31,9
2020-02-19T08:00:00Z,30,8
2020-02-19T09:00:00Z,31,5
2020-02-19T10:00:00Z,31,5
2020-02-19T11:00:00Z,31,5
2020-02-19T12:00:00Z,31,5
2020-02-19T13:00:00Z,32,4
2020-02-19T14:00:00Z,34,2
2020-02-19T15:00:00Z,32,6
2020-02-19T16:00:00Z,34,4
2020-02-19T17:00:00Z,33,5
2020-02-19T18:00:00Z,33,5
2020-02-19T19:00:00Z,34,5
2020-02-19T20:00:00Z,33,5
2020-02-19T21:00:00Z,33,6
2020-02-19T22:00:00Z,32,7
2020-02-19T23:00:00Z,31,9
2020-02-20T00:00:00Z,33,8
2020-02-20T01:00:00Z,34,7
2020-02-20T02:00:00Z,33,8
2020-02-20T03:00:00Z,34,7
2020-02-20T04:00:00Z,31,9
2020-02-20T05:00:00Z,28,11
2020-02-20T06:00:00Z,22,18
2020-02-20T07:00:00Z,15,24
2020-02-20T08:00:00Z,22,16
2020-02-20T09:00:00Z,27,10
2020-02-20T10:00:00Z,30,6
2020-02-20T11:00:00Z,31,5
2020-02-20T12:00:00Z,31,5
2020-02-20T13:00:00Z,31,6
2020-02-20T14:00:00Z,32,5
2020-02-20T15:00:00Z,32,5
2020-02-20T16:00:00Z,32,5
2020-02-20T17:00:00Z,29,9
2020-02-20T18:00:00Z,26,12
2020-02-20T19:00:00Z,24,13
2020-02-20T20:00:00Z,19,18
2020-02-20T21:00:00Z,26,14
2020-02-20T22:00:00Z,26,14
2020-02-20T23:00:00Z,23,17
2020-02-21T00:00:00Z,18,23
2020-02-21T01:00:00Z,18,21
2020-02-21T02:00:00Z,16,22
2020-02-21T03:00:00Z,22,16
2020-02-21T04:00:00Z,25,14
2020-02-21T05:00:00Z,21,17
2020-02-21T06:00:00Z,19,20
2020-02-21T07:00:00Z,17,22
2020-02-21T08:00:00Z,20,19
2020-02-21T09:00:00Z,23,15
2020-02-21T10:00:00Z,29,10
2020-02-21T11:00:00Z,31,8
2020-02-21T12:00:00Z,33,7
2020-02-21T13:00:00Z,34,7
2020-02-21T14:00:00Z,34,8
2020-02-21T15:00:00Z,35,7
2020-02-21T16:00:00Z,35,7
2020-02-21T17:00:00Z,31,9
2020-02-21T18:00:00Z,29,11
2020-02-21T19:00:00Z,29,9
2020-02-21T20:00:00Z,26,10
2020-02-21T21:00:00Z,27,10
2020-02-21T22:00:00Z,28,9
2020-02-21T23:00:00Z,29,8
2020-02-22T00:00:00Z,27,9
2020-02-22T01:00:00Z,27,8
2020-02-22T02:00:00Z,26,9
2020-02-22T03:00:00Z,26,9
2020-02-22T04:00:00Z,25,9
2020-02-22T05:00:00Z,24,11
2020-02-22T06:00:00Z,21,13
2020-02-22T07:00:00Z,22,12
2020-02-22T08:00:00Z,23,10
2020-02-22T09:00:00Z,25,8
2020-02-22T10:00:00Z,27,7
2020-02-22T11:00:00Z,28,6
2020-02-22T12:00:00Z,30,5
2020-02-22T13:00:00Z,33,5
2020-02-22T14:00:00Z,36,4
2020-02-22T15:00:00Z,35,6
2020-02-22T16:00:00Z,34,6
2020-02-22T17:00:00Z,31,8
2020-02-22T18:00:00Z,27,10
2020-02-22T19:00:00Z,26,10
2020-02-22T20:00:00Z,24,11
2020-02-22T21:00:00Z,21,14
2020-02-22T22:00:00Z,18,17
2020-02-22T23:00:00Z,16,21
2020-02-23T00:00:00Z,10,27
2020-02-23T01:00:00Z,11,28
2020-02-23T02:00:00Z,15,24
2020-02-23T03:00:00Z,19,19
2020-02-23T04:00:00Z,22,15
2020-02-23T05:00:00Z,25,12
2020-02-23T06:00:00Z,23,15
2020-02-23T07:00:00Z,17,21
2020-02-23T08:00:00Z,22,13
2020-02-23T09:00:00Z,23,9
2020-02-23T10:00:00Z,23,10
2020-02-23T11:00:00Z,23,10
2020-02-23T12:00:00Z,29,7
2020-02-23T13:00:00Z,34,5
2020-02-23T14:00:00Z,37,5
2020-02-23T15:00:00Z,41,4
2020-02-23T16:00:00Z,41,4
2020-02-23T17:00:00Z,40,8
2020-02-23T18:00:00Z,30,18
2020-02-23T19:00:00Z,32,16
2020-02-23T20:00:00Z,35,11
2020-02-23T21:00:00Z,31,13
2020-02-23T22:00:00Z,29,13
2020-02-23T23:00:00Z,34,7
2020-02-24T00:00:00Z,33,7
2020-02-24T01:00:00Z,32,7
2020-02-24T02:00:00Z,32,6
2020-02-24T03:00:00Z,,
2020-02-24T04:00:00Z,24,12
2020-02-24T05:00:00Z,17,18
2020-02-24T06:00:00Z,7,30
2020-02-24T07:00:00Z,5,32
2020-02-24T08:00:00Z,9,26
2020-02-24T09:00:00Z,15,19
2020-02-24T10:00:00Z,18,19
2020-02-24T11:00:00Z,26,15
2020-02-24T12:00:00Z,33,12
2020-02-24T13:00:00Z,36,12
2020-02-24T14:00:00Z,41,10
2020-02-24T15:00:00Z,40,11
2020-02-24T16:00:00Z,41,11
2020-02-24T17:00:00Z,18,26
2020-02-24T18:00:00Z,6,38
2020-02-24T19:00:00Z,24,24
2020-02-24T20:00:00Z,29,20
2020-02-24T21:00:00Z,27,22
2020-02-24T22:00:00Z,31,17
2020-02-24T23:00:00Z,32,13
2020-02-25T00:00:00Z,32,11
2020-02-25T01:00:00Z,35,9
2020-02-25T02:00:00Z,33,11
2020-02-25T03:00:00Z,33,10
2020-02-25T04:00:00Z,29,12
2020-02-25T05:00:00Z,21,20
2020-02-25T06:00:00Z,32,10
2020-02-25T07:00:00Z,27,14
2020-02-25T08:00:00Z,21,19
2020-02-25T09:00:00Z,27,13
2020-02-25T10:00:00Z,30,10
2020-02-25T11:00:00Z,28,12
2020-02-25T12:00:00Z,31,10
2020-02-25T13:00:00Z,34,8
2020-02-25T14:00:00Z,37,7
2020-02-25T15:00:00Z,38,7
2020-02-25T16:00:00Z,36,8
2020-02-25T17:00:00Z,31,14
2020-02-25T18:00:00Z,27,17
2020-02-25T19:00:00Z,25,18
2020-02-25T20:00:00Z,24,17
2020-02-25T21:00:00Z,20,20
2020-02-25T22:00:00Z,23,16
2020-02-25T23:00:00Z,33,6
2020-02-26T00:00:00Z,35,5
2020-02-26T01:00:00Z,37,3
2020-02-26T02:00:00Z,37,2
2020-02-26T03:00:00Z,36,2
2020-02-26T04:00:00Z,36,3
2020-02-26T05:00:00Z,35,3
2020-02-26T06:00:00Z,31,7
2020-02-26T07:00:00Z,30,8
2020-02-26T08:00:00Z,28,11
2020-02-26T09:00:00Z,30,8
2020-02-26T10:00:00Z,29,8
2020-02-26T11:00:00Z,29,9
2020-02-26T12:00:00Z,32,7
2020-02-26T13:00:00Z,32,7
2020-02-26T14:00:00Z,32,7
2020-02-26T15:00:00Z,29,9
2020-02-26T16:00:00Z,26,12
2020-02-26T17:00:00Z,26,11
2020-02-26T18:00:00Z,26,11
2020-02-26T19:00:00Z,25,13
2020-02-26T20:00:00Z,24,14
2020-02-26T21:00:00Z,27,10
2020-02-26T22:00:00Z,29,7
2020-02-26T23:00:00Z,30,6
2020-02-27T00:00:00Z,31,5
2020-02-27T01:00:00Z,31,4
2020-02-27T02:00:00Z,31,4
2020-02-27T03:00:00Z,32,4
2020-02-27T04:00:00Z,32,4
2020-02-27T05:00:00Z,30,7
2020-02-27T06:00:00Z,29,6
2020-02-27T07:00:00Z,28,8
2020-02-27T08:00:00Z,28,8
2020-02-27T09:00:00Z,33,4
2020-02-27T10:00:00Z,35,3
2020-02-27T11:00:00Z,35,2
2020-02-27T12:00:00Z,36,2
2020-02-27T13:00:00Z,37,2
2020-02-27T14:00:00Z,37,2
2020-02-27T15:00:00Z,37,4
2020-02-27T16:00:00Z,36,4
2020-02-27T17:00:00Z,36,4
2020-02-27T18:00:00Z,36,4
2020-02-27T19:00:00Z,36,5
2020-02-27T20:00:00Z,35,5
2020-02-27T21:00:00Z,36,6
2020-02-27T22:00:00Z,38,4
2020-02-27T23:00:00Z,37,5
2020-02-28T00:00:00Z,37,4
2020-02-28T01:00:00Z,36,4
2020-02-28T02:00:00Z,35,4
2020-02-28T03:00:00Z,35,4
2020-02-28T04:00:00Z,35,5
2020-02-28T05:00:00Z,35,5
2020-02-28T06:00:00Z,34,7
2020-02-28T07:00:00Z,33,9
2020-02-28T08:00:00Z,34,6
2020-02-28T09:00:00Z,35,5
2020-02-28T10:00:00Z,36,5
2020-02-28T11:00:00Z,36,5
2020-02-28T12:00:00Z,37,4
2020-02-28T13:00:00Z,36,4
2020-02-28T14:00:00Z,35,6
2020-02-28T15:00:00Z,36,5
2020-02-28T16:00:00Z,36,5
2020-02-28T17:00:00Z,36,5
2020-02-28T18:00:00Z,33,7
2020-02-28T19:00:00Z,25,12
2020-02-28T20:00:00Z,24,13
2020-02-28T21:00:00Z,24,13
2020-02-28T22:00:00Z,29,8
2020-02-28T23:00:00Z,29,7
2020-02-29T00:00:00Z,29,5
2020-02-29T01:00:00Z,29,4
2020-02-29T02:00:00Z,27,6
2020-02-29T03:00:00Z,25,8
2020-02-29T04:00:00Z,25,8
2020-02-29T05:00:00Z,21,11
2020-02-29T06:00:00Z,18,15
2020-02-29T07:00:00Z,21,12
2020-02-29T08:00:00Z,24,8
2020-02-29T09:00:00Z,24,7
2020-02-29T10:00:00Z,26,5
2020-02-29T11:00:00Z,27,4
2020-02-29T12:00:00Z,29,4
2020-02-29T13:00:00Z,31,3
2020-02-29T14:00:00Z,33,3
2020-02-29T15:00:00Z,33,4
2020-02-29T16:00:00Z,33,5
2020-02-29T17:00:00Z,30,10
2020-02-29T18:00:00Z,21,20
2020-02-29T19:00:00Z,15,25
2020-02-29T20:00:00Z,8,33
2020-02-29T21:00:00Z,8,35
2020-02-29T22:00:00Z,10,33
2020-02-29T23:00:00Z,2,41
